id,type,text,dialect,syllable_count,stress_pattern,stress_features,estimated_duration,actual_duration_mean,standard_deviation,duration_measurement_status,duration_model,pronunciation_phonemic_ipa,surface_pronunciation_ipa,phoneme_sequence,phoneme_set,consonants,nuclei,word_final_codas,cross_word_transition,phoneme_transitions,consonant_clusters,phonological_processes,reduced_vowels_and_weak_forms,pronunciation_review_status,review_notes,viseme_sequence,viseme_set,viseme_transitions,phoneme_viseme_pairs,av_transitions,score_weighting_status,standalone_phoneme_coverage,standalone_coda_coverage,standalone_stress_feature_coverage,standalone_reduction_coverage,standalone_cluster_coverage,standalone_process_coverage,standalone_phoneme_transition_coverage,standalone_viseme_coverage,standalone_viseme_transition_coverage,standalone_av_transition_coverage,standalone_audio_score,standalone_vision_score,standalone_joint_av_score,standalone_audio_score_per_sec,standalone_vision_score_per_sec,standalone_joint_av_score_per_sec
E001,word,cat,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/kæt/,[kæt],k-æ-t,"k,t,æ","k,t",æ,t,,"k→æ,æ→t",,aspiration,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → open_vowel → coronal,"low_visibility_velar,open_vowel,coronal","low_visibility_velar→open_vowel,open_vowel→coronal","k:low_visibility_velar,æ:open_vowel,t:coronal","k:low_visibility_velar→æ:open_vowel,æ:open_vowel→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0.111111111,0.008403361,0.15,0.018348624,0.008403361,0.083587893,0.084174312,0.076186723,0.174141443,0.17536315,0.15872234
E002,word,dog,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/dɔɡ/,[dɔɡ],d-ɔ-ɡ,"d,ɔ,ɡ","d,ɡ",ɔ,ɡ,,"d→ɔ,ɔ→ɡ",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → rounded_open_vowel → low_visibility_velar,"coronal,rounded_open_vowel,low_visibility_velar","coronal→rounded_open_vowel,rounded_open_vowel→low_visibility_velar","d:coronal,ɔ:rounded_open_vowel,ɡ:low_visibility_velar","d:coronal→ɔ:rounded_open_vowel,ɔ:rounded_open_vowel→ɡ:low_visibility_velar",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E003,word,sheep,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ʃiːp/,[ʃiːp],ʃ-iː-p,"iː,p,ʃ","ʃ,p",iː,p,,"ʃ→iː,iː→p",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,postalveolar → spread_vowel → bilabial_closure,"postalveolar,spread_vowel,bilabial_closure","postalveolar→spread_vowel,spread_vowel→bilabial_closure","ʃ:postalveolar,iː:spread_vowel,p:bilabial_closure","ʃ:postalveolar→iː:spread_vowel,iː:spread_vowel→p:bilabial_closure",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E004,word,fish,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/fɪʃ/,[fɪʃ],f-ɪ-ʃ,"f,ɪ,ʃ","f,ʃ",ɪ,ʃ,,"f→ɪ,ɪ→ʃ",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,labiodental → spread_vowel → postalveolar,"labiodental,spread_vowel,postalveolar","labiodental→spread_vowel,spread_vowel→postalveolar","f:labiodental,ɪ:spread_vowel,ʃ:postalveolar","f:labiodental→ɪ:spread_vowel,ɪ:spread_vowel→ʃ:postalveolar",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E005,word,bird,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/bɝd/,[bɝd],b-ɝ-d,"b,d,ɝ","b,d",ɝ,d,,"b→ɝ,ɝ→d",,r_coloring,ɝ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → rhotic_vowel → coronal,"bilabial_closure,rhotic_vowel,coronal","bilabial_closure→rhotic_vowel,rhotic_vowel→coronal","b:bilabial_closure,ɝ:rhotic_vowel,d:coronal","b:bilabial_closure→ɝ:rhotic_vowel,ɝ:rhotic_vowel→d:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0.1,0,0.111111111,0.008403361,0.15,0.018348624,0.008403361,0.097873607,0.084174312,0.086186723,0.203903348,0.17536315,0.179555674
E006,word,mouse,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/maʊs/,[maʊs],m-aʊ-s,"aʊ,m,s","m,s",aʊ,s,,"m→aʊ,aʊ→s",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → open_to_rounded → coronal,"bilabial_closure,open_to_rounded,coronal","bilabial_closure→open_to_rounded,open_to_rounded→coronal","m:bilabial_closure,aʊ:open_to_rounded,s:coronal","m:bilabial_closure→aʊ:open_to_rounded,aʊ:open_to_rounded→s:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E007,word,goat,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɡoʊt/,[ɡoʊt],ɡ-oʊ-t,"oʊ,t,ɡ","ɡ,t",oʊ,t,,"ɡ→oʊ,oʊ→t",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → rounded_vowel → coronal,"low_visibility_velar,rounded_vowel,coronal","low_visibility_velar→rounded_vowel,rounded_vowel→coronal","ɡ:low_visibility_velar,oʊ:rounded_vowel,t:coronal","ɡ:low_visibility_velar→oʊ:rounded_vowel,oʊ:rounded_vowel→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E008,word,zebra,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ziːbɹə/,[ziːbɹə],z-iː-b-ɹ-ə,"b,iː,z,ə,ɹ","z,b,ɹ","iː,ə",,,"z→iː,iː→b,b→ɹ,ɹ→ə",bɹ,vowel_reduction,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → spread_vowel → bilabial_closure → rhotic → neutral_vowel,"coronal,spread_vowel,bilabial_closure,rhotic,neutral_vowel","coronal→spread_vowel,spread_vowel→bilabial_closure,bilabial_closure→rhotic,rhotic→neutral_vowel","z:coronal,iː:spread_vowel,b:bilabial_closure,ɹ:rhotic,ə:neutral_vowel","z:coronal→iː:spread_vowel,iː:spread_vowel→b:bilabial_closure,b:bilabial_closure→ɹ:rhotic,ɹ:rhotic→ə:neutral_vowel",EQUAL_WEIGHT_HEURISTIC,0.11627907,0,0.666666667,0.1,0.033333333,0.111111111,0.016806723,0.25,0.036697248,0.016806723,0.149170986,0.143348624,0.134770087,0.186463733,0.17918578,0.168462609
E009,word,chair,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/tʃɛɹ/,[tʃɛɹ],tʃ-ɛɹ,"tʃ,ɛɹ",tʃ,ɛɹ,,,tʃ→ɛɹ,,r_coloring,ɛɹ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,postalveolar → rhotic_vowel,"postalveolar,rhotic_vowel",postalveolar→rhotic_vowel,"tʃ:postalveolar,ɛɹ:rhotic_vowel",tʃ:postalveolar→ɛɹ:rhotic_vowel,EQUAL_WEIGHT_HEURISTIC,0.046511628,0,0.333333333,0.1,0,0.111111111,0.004201681,0.1,0.009174312,0.004201681,0.085022536,0.054587156,0.070853375,0.177130284,0.113723242,0.147611197
E010,word,judge,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/dʒʌdʒ/,[dʒʌdʒ],dʒ-ʌ-dʒ,"dʒ,ʌ",dʒ,ʌ,dʒ,,"dʒ→ʌ,ʌ→dʒ",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,postalveolar → central_open_vowel → postalveolar,"postalveolar,central_open_vowel","postalveolar→central_open_vowel,central_open_vowel→postalveolar","dʒ:postalveolar,ʌ:central_open_vowel,dʒ:postalveolar","dʒ:postalveolar→ʌ:central_open_vowel,ʌ:central_open_vowel→dʒ:postalveolar",EQUAL_WEIGHT_HEURISTIC,0.046511628,0.0625,0.333333333,0,0,0,0.008403361,0.1,0.018348624,0.008403361,0.064392618,0.059174312,0.057750031,0.134151286,0.123279817,0.120312564
