id,type,text,reading_kana,mora_count,estimated_duration,actual_duration_mean,standard_deviation,pronunciation,mora_sequence,consonants,vowels,special_morae,phoneme_sequence,long_vowel_morae,long_vowel_count,phoneme_set,phoneme_transitions,cross_word_transition,phonological_processes,phonological_process_count,prosodic_features,pitch_accent_pattern,pitch_accent_variants,pitch_accent_unit,pitch_accent_source,pitch_accent_confidence,reading_review_status,long_vowel_review_status,pitch_accent_review_status,review_notes,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,special_mora_coverage_gain,prosodic_coverage_gain,phoneme_transition_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec,duration_measurement_status,duration_model
J001,word,朝,あさ,2,0.52,0.52,0.06,あさ,あ-さ,s,a,,a-s-a,,0,"a,s","a→s,s→a",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,open_vowel → coronal → open_vowel,"coronal,open_vowel","open_vowel→coronal,coronal→open_vowel",coronal; open_vowel,"a:open_vowel,s:coronal,a:open_vowel","a:open_vowel→s:coronal,s:coronal→a:open_vowel",0.06060606060606061,0.0,0.0,0.013157894736842105,0.2,0.047619047619047616,0.013157894736842105,0.018440988835725678,0.12380952380952381,0.04779155681411321,0.03546344006870322,0.23809523809523808,0.0919068400271408,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J002,word,家,いえ,2,0.52,0.52,0.06,いえ,い-え,,"e,i",,i-e,,0,"e,i",i→e,,,0,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,spread_vowel → spread_vowel,spread_vowel,spread_vowel→spread_vowel,spread_vowel,"i:spread_vowel,e:spread_vowel",i:spread_vowel→e:spread_vowel,0.06060606060606061,0.0,0.0,0.006578947368421052,0.1,0.023809523809523808,0.006578947368421052,0.016796251993620413,0.06190476190476191,0.02822478273606093,0.03230048460311618,0.11904761904761904,0.05427842833857871,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J003,word,上,うえ,2,0.52,0.52,0.06,うえ,う-え,,"e,u",,u-e,,0,"e,u",u→e,,,0,mora_timed;pitch_accent_relevant,0,2,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,MEDIUM,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,rounded → spread_vowel,"rounded,spread_vowel",rounded→spread_vowel,rounded; spread_vowel,"u:rounded,e:spread_vowel",u:rounded→e:spread_vowel,0.06060606060606061,0.0,0.0,0.006578947368421052,0.2,0.023809523809523808,0.006578947368421052,0.016796251993620413,0.11190476190476191,0.04251049702177522,0.03230048460311618,0.21520146520146521,0.0817509558111062,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J004,word,駅,えき,2,0.52,0.52,0.06,えき,え-き,k,"e,i",,e-k-i,,0,"e,i,k","e→k,k→i",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,spread_vowel → low_visibility_velar → spread_vowel,"low_visibility_velar,spread_vowel","spread_vowel→low_visibility_velar,low_visibility_velar→spread_vowel",low_visibility_velar; spread_vowel,"e:spread_vowel,k:low_visibility_velar,i:spread_vowel","e:spread_vowel→k:low_visibility_velar,k:low_visibility_velar→i:spread_vowel",0.09090909090909091,0.0,0.0,0.013157894736842105,0.2,0.047619047619047616,0.013157894736842105,0.026016746411483254,0.12380952380952381,0.052120561143117534,0.0500322046374678,0.23809523809523808,0.1002318483521491,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J005,word,丘,おか,2,0.52,0.52,0.06,おか,お-か,k,"a,o",,o-k-a,,0,"a,k,o","o→k,k→a",,,0,mora_timed;pitch_accent_relevant,0,1,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,MEDIUM,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,rounded → low_visibility_velar → open_vowel,"low_visibility_velar,open_vowel,rounded","rounded→low_visibility_velar,low_visibility_velar→open_vowel",low_visibility_velar; open_vowel; rounded,"o:rounded,k:low_visibility_velar,a:open_vowel","o:rounded→k:low_visibility_velar,k:low_visibility_velar→a:open_vowel",0.09090909090909091,0.0,0.0,0.013157894736842105,0.3,0.047619047619047616,0.013157894736842105,0.026016746411483254,0.1738095238095238,0.06640627542883182,0.0500322046374678,0.3342490842490842,0.12770437582467656,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J006,word,柿,かき,2,0.52,0.52,0.06,かき,か-き,k,"a,i",,k-a-k-i,,0,"a,i,k","k→a,a→k,k→i",,,0,mora_timed;pitch_accent_relevant,0,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → low_visibility_velar → spread_vowel,"low_visibility_velar,open_vowel,spread_vowel","low_visibility_velar→open_vowel,open_vowel→low_visibility_velar,low_visibility_velar→spread_vowel",low_visibility_velar; open_vowel; spread_vowel,"k:low_visibility_velar,a:open_vowel,k:low_visibility_velar,i:spread_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→k:low_visibility_velar,k:low_visibility_velar→i:spread_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J007,word,鍵,かぎ,2,0.52,0.52,0.06,かぎ,か-ぎ,"g,k","a,i",,k-a-g-i,,0,"a,g,i,k","k→a,a→g,g→i",,,0,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → low_visibility_velar → spread_vowel,"low_visibility_velar,open_vowel,spread_vowel","low_visibility_velar→open_vowel,open_vowel→low_visibility_velar,low_visibility_velar→spread_vowel",low_visibility_velar; open_vowel; spread_vowel,"k:low_visibility_velar,a:open_vowel,g:low_visibility_velar,i:spread_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→g:low_visibility_velar,g:low_visibility_velar→i:spread_vowel",0.12121212121212122,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.18571428571428572,0.07601633955017414,0.06776392467181941,0.35714285714285715,0.14618526836571952,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J008,word,傘,かさ,2,0.52,0.52,0.06,かさ,か-さ,"k,s",a,,k-a-s-a,,0,"a,k,s","k→a,a→s,s→a",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → coronal → open_vowel,"coronal,low_visibility_velar,open_vowel","low_visibility_velar→open_vowel,open_vowel→coronal,coronal→open_vowel",coronal; low_visibility_velar; open_vowel,"k:low_visibility_velar,a:open_vowel,s:coronal,a:open_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→s:coronal,s:coronal→a:open_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J009,word,風,かぜ,2,0.52,0.52,0.06,かぜ,か-ぜ,"k,z","a,e",,k-a-z-e,,0,"a,e,k,z","k→a,a→z,z→e",,,0,mora_timed;pitch_accent_relevant,0,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → coronal → spread_vowel,"coronal,low_visibility_velar,open_vowel,spread_vowel","low_visibility_velar→open_vowel,open_vowel→coronal,coronal→spread_vowel",coronal; low_visibility_velar; open_vowel; spread_vowel,"k:low_visibility_velar,a:open_vowel,z:coronal,e:spread_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→z:coronal,z:coronal→e:spread_vowel",0.12121212121212122,0.0,0.0,0.019736842105263157,0.4,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.2357142857142857,0.09030205383588842,0.06776392467181941,0.4532967032967033,0.17365779583824695,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J010,word,肩,かた,2,0.52,0.52,0.06,かた,か-た,"k,t",a,,k-a-t-a,,0,"a,k,t","k→a,a→t,t→a",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → coronal → open_vowel,"coronal,low_visibility_velar,open_vowel","low_visibility_velar→open_vowel,open_vowel→coronal,coronal→open_vowel",coronal; low_visibility_velar; open_vowel,"k:low_visibility_velar,a:open_vowel,t:coronal,a:open_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→t:coronal,t:coronal→a:open_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
