id,type,text,syllable_count,estimated_duration,actual_duration_mean,standard_deviation,pronunciation,onsets,nuclei,codas,phoneme_sequence,phoneme_set,phoneme_transitions,cross-word transition,morphophonological_processes,morphophonology_count,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,coda_coverage_gain,morph_coverage_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,phoneme_transition_gain,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec
K001,word,바다,2,0.6,0.63,0.06,바다,"ㅂ,ㄷ",ㅏ,,ㅂ-ㅏ-ㄷ-ㅏ,"ㅂ,ㅏ,ㄷ","ㅂ→ㅏ,ㅏ→ㄷ,ㄷ→ㅏ",,,,bilabial closure → open vowel → alveolar → open vowel,"bilabial closure,open vowel,alveolar","bilabial closure→open vowel,open vowel→alveolar,alveolar→open vowel",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅂ:bilabial closure,ㅏ:open vowel,ㄷ:alveolar,ㅏ:open vowel","ㅂ:bilabial closure→ㅏ:open vowel,ㅏ:open vowel→ㄷ:alveolar,ㄷ:alveolar→ㅏ:open vowel",0.06,0.0,0.0,0.16666666666666700,0.025423728813559300,0.012552301255230100,0.017688172043010800,0.053672316384180800,0.020985469860484000,0.010752688172043000,0.028076463560334500,0.08519415299076320,0.033310269619815900
K002,word,가방,2,0.6,0.6,0.0,가방,"ㄱ,ㅂ",ㅏ,ㅇ,ㄱ-ㅏ-ㅂ-ㅏ-ㅇ,"ㄱ,ㅏ,ㅂ,ㅇ","ㄱ→ㅏ,ㅏ→ㅂ,ㅂ→ㅏ,ㅏ→ㅇ",,,,low-visibility velar → open vowel → bilabial closure → open vowel → low-visibility coda,"low-visibility velar,open vowel,bilabial closure,low-visibility coda","low-visibility velar→open vowel,open vowel→bilabial closure,bilabial closure→open vowel,open vowel→low-visibility coda",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄱ:low-visibility velar,ㅏ:open vowel,ㅂ:bilabial closure,ㅏ:open vowel,ㅇ:low-visibility coda","ㄱ:low-visibility velar→ㅏ:open vowel,ㅏ:open vowel→ㅂ:bilabial closure,ㅂ:bilabial closure→ㅏ:open vowel,ㅏ:open vowel→ㅇ:low-visibility coda",0.08,0.09090909090909090,0.0,0.2222222222222220,0.03389830508474580,0.016736401673640200,0.04631150211795370,0.07156308851224110,0.040434084951870400,0.014336917562724000,0.07718583686325620,0.11927181418706800,0.06739014158645080
K003,word,다리,2,0.5,0.53,0.06,다리,"ㄷ,ㄹ","ㅏ,ㅣ",,ㄷ-ㅏ-ㄹ-ㅣ,"ㄷ,ㅏ,ㄹ,ㅣ","ㄷ→ㅏ,ㅏ→ㄹ,ㄹ→ㅣ",,,,alveolar → open vowel → liquid → spread vowel,"alveolar,open vowel,liquid,spread vowel","alveolar→open vowel,open vowel→liquid,liquid→spread vowel",ㅣ 계열에서 입술이 옆으로 벌어짐; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄷ:alveolar,ㅏ:open vowel,ㄹ:liquid,ㅣ:spread vowel","ㄷ:alveolar→ㅏ:open vowel,ㅏ:open vowel→ㄹ:liquid,ㄹ:liquid→ㅣ:spread vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.04280787177926560,0.1222328820665890,0.04751879393218890
K004,word,사과,2,0.6,0.63,0.06,사과,"ㅅ,ㄱ","ㅏ,ㅘ",,ㅅ-ㅏ-ㄱ-ㅘ,"ㅅ,ㅏ,ㄱ,ㅘ","ㅅ→ㅏ,ㅏ→ㄱ,ㄱ→ㅘ",,,,fricative → open vowel → low-visibility velar → rounded vowel,"fricative,open vowel,low-visibility velar,rounded vowel","fricative→open vowel,open vowel→low-visibility velar,low-visibility velar→rounded vowel",원순 모음에서 입술 원순화/돌출이 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅅ:fricative,ㅏ:open vowel,ㄱ:low-visibility velar,ㅘ:rounded vowel","ㅅ:fricative→ㅏ:open vowel,ㅏ:open vowel→ㄱ:low-visibility velar,ㄱ:low-visibility velar→ㅘ:rounded vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.03601297149684250,0.10283083729411400,0.03997612822866680
K005,word,자두,2,0.5,0.47,0.06,자두,"ㅈ,ㄷ","ㅏ,ㅜ",,ㅈ-ㅏ-ㄷ-ㅜ,"ㅈ,ㅏ,ㄷ,ㅜ","ㅈ→ㅏ,ㅏ→ㄷ,ㄷ→ㅜ",,,,affricate → open vowel → alveolar → rounded/protruded vowel,"affricate,open vowel,alveolar,rounded/protruded vowel","affricate→open vowel,open vowel→alveolar,alveolar→rounded/protruded vowel",원순 모음에서 입술 원순화/돌출이 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅈ:affricate,ㅏ:open vowel,ㄷ:alveolar,ㅜ:rounded/protruded vowel","ㅈ:affricate→ㅏ:open vowel,ㅏ:open vowel→ㄷ:alveolar,ㄷ:alveolar→ㅜ:rounded/protruded vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.048272706474491000,0.13783707977721700,0.05358502294480870
K006,word,까치,2,0.7,0.57,0.12,까치,"ㄲ,ㅊ","ㅏ,ㅣ",,ㄲ-ㅏ-ㅊ-ㅣ,"ㄲ,ㅏ,ㅊ,ㅣ","ㄲ→ㅏ,ㅏ→ㅊ,ㅊ→ㅣ",,,,low-visibility velar → open vowel → affricate → spread vowel,"low-visibility velar,open vowel,affricate,spread vowel","low-visibility velar→open vowel,open vowel→affricate,affricate→spread vowel",ㅣ 계열에서 입술이 옆으로 벌어짐; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄲ:low-visibility velar,ㅏ:open vowel,ㅊ:affricate,ㅣ:spread vowel","ㄲ:low-visibility velar→ㅏ:open vowel,ㅏ:open vowel→ㅊ:affricate,ㅊ:affricate→ㅣ:spread vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.03980381060177330,0.11365513595665200,0.044184141726421200
K007,word,딸기,2,0.8,0.77,0.06,딸기,"ㄸ,ㄱ","ㅏ,ㅣ",ㄹ,ㄸ-ㅏ-ㄹ-ㄱ-ㅣ,"ㄸ,ㅏ,ㄹ,ㄱ,ㅣ","ㄸ→ㅏ,ㅏ→ㄹ,ㄹ→ㄱ,ㄱ→ㅣ",,,,alveolar → open vowel → low-visibility coda → low-visibility velar → spread vowel,"alveolar,open vowel,low-visibility coda,low-visibility velar,spread vowel","alveolar→open vowel,open vowel→low-visibility coda,low-visibility coda→low-visibility velar,low-visibility velar→spread vowel",ㅣ 계열에서 입술이 옆으로 벌어짐; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㄸ:alveolar,ㅏ:open vowel,ㄹ:low-visibility coda,ㄱ:low-visibility velar,ㅣ:spread vowel","ㄸ:alveolar→ㅏ:open vowel,ㅏ:open vowel→ㄹ:low-visibility coda,ㄹ:low-visibility coda→ㄱ:low-visibility velar,ㄱ:low-visibility velar→ㅣ:spread vowel",0.1,0.09090909090909090,0.0,0.2777777777777780,0.03389830508474580,0.016736401673640200,0.05131150211795370,0.08267419962335220,0.04468790172597980,0.014336917562724000,0.06663831443890100,0.10736909041993800,0.05803623600776600
K008,word,빨대,2,0.8,0.8,0.1,빨때,"ㅃ,ㄷ","ㅏ,ㅐ",ㄹ,ㅃ-ㅏ-ㄹ-ㄸ-ㅐ,"ㅃ,ㅏ,ㄹ,ㄸ,ㅐ","ㅃ→ㅏ,ㅏ→ㄹ,ㄹ→ㄸ,ㄸ→ㅐ",,tensification,1.0,bilabial closure → open vowel → low-visibility coda → alveolar → front/open-mid vowel,"bilabial closure,open vowel,low-visibility coda,alveolar,front/open-mid vowel","bilabial closure→open vowel,open vowel→low-visibility coda,low-visibility coda→alveolar,alveolar→front/open-mid vowel",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㅃ:bilabial closure,ㅏ:open vowel,ㄹ:low-visibility coda,ㄸ:alveolar,ㅐ:front/open-mid vowel","ㅃ:bilabial closure→ㅏ:open vowel,ㅏ:open vowel→ㄹ:low-visibility coda,ㄹ:low-visibility coda→ㄸ:alveolar,ㄸ:alveolar→ㅐ:front/open-mid vowel",0.1,0.09090909090909090,0.125,0.2777777777777780,0.03389830508474580,0.016736401673640200,0.08256150211795370,0.08267419962335220,0.05626524513255730,0.014336917562724000,0.10320187764744200,0.10334274952919000,0.0703315564156966
K009,word,쌀밥,2,0.8,0.77,0.06,쌀밥,"ㅆ,ㅂ",ㅏ,"ㄹ,ㅂ",ㅆ-ㅏ-ㄹ-ㅂ-ㅏ-ㅂ,"ㅆ,ㅏ,ㄹ,ㅂ","ㅆ→ㅏ,ㅏ→ㄹ,ㄹ→ㅂ,ㅂ→ㅏ,ㅏ→ㅂ",,,,fricative → open vowel → low-visibility coda → bilabial closure → open vowel → bilabial coda closure,"fricative,open vowel,low-visibility coda,bilabial closure,bilabial coda closure","fricative→open vowel,open vowel→low-visibility coda,low-visibility coda→bilabial closure,bilabial closure→open vowel,open vowel→bilabial coda closure",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㅆ:fricative,ㅏ:open vowel,ㄹ:low-visibility coda,ㅂ:bilabial closure,ㅏ:open vowel,ㅂ:bilabial coda closure","ㅆ:fricative→ㅏ:open vowel,ㅏ:open vowel→ㄹ:low-visibility coda,ㄹ:low-visibility coda→ㅂ:bilabial closure,ㅂ:bilabial closure→ㅏ:open vowel,ㅏ:open vowel→ㅂ:bilabial coda closure",0.08,0.18181818181818200,0.0,0.2777777777777780,0.0423728813559322,0.02092050209205020,0.06993483219289670,0.08945386064030130,0.05546770504270960,0.017921146953405000,0.09082445739337240,0.11617384498740400,0.07203598057494760
K010,word,짜장,2,0.7,0.6,0.1,짜장,"ㅉ,ㅈ",ㅏ,ㅇ,ㅉ-ㅏ-ㅈ-ㅏ-ㅇ,"ㅉ,ㅏ,ㅈ,ㅇ","ㅉ→ㅏ,ㅏ→ㅈ,ㅈ→ㅏ,ㅏ→ㅇ",,,,affricate → open vowel → affricate → open vowel → low-visibility coda,"affricate,open vowel,low-visibility coda","affricate→open vowel,open vowel→affricate,affricate→open vowel,open vowel→low-visibility coda",개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅉ:affricate,ㅏ:open vowel,ㅈ:affricate,ㅏ:open vowel,ㅇ:low-visibility coda","ㅉ:affricate→ㅏ:open vowel,ㅏ:open vowel→ㅈ:affricate,ㅈ:affricate→ㅏ:open vowel,ㅏ:open vowel→ㅇ:low-visibility coda",0.08,0.09090909090909090,0.0,0.16666666666666700,0.025423728813559300,0.016736401673640200,0.04631150211795370,0.053672316384180800,0.03652713216993710,0.014336917562724000,0.07718583686325620,0.08945386064030130,0.0608785536165619
