id,type,text,dialect,syllable_count,estimated_duration,actual_duration_mean,standard_deviation,duration_measurement_status,duration_model,pronunciation_ipa,syllable_sequence,initials,nuclei,codas,phoneme_sequence,phoneme_set,phoneme_transitions,cross_word_transition,tone_sequence,tone_set,tone_transitions,checked_syllables,checked_syllable_count,phonological_features,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,coda_coverage_gain,tone_coverage_gain,phoneme_transition_gain,tone_transition_gain,combined_transition_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec
V001,word,ba,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓaː/,ba,b,a,∅,ɓ-aː,"aː,ɓ",ɓ→aː,,ngang,ngang,,,0,,bilabial_closure → open_vowel,"bilabial_closure,open_vowel",bilabial_closure→open_vowel,"bilabial_closure,open_vowel","ɓ:bilabial_closure,aː:open_vowel",ɓ:bilabial_closure→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V002,word,bà,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓaː/,bà,b,a,∅,ɓ-aː,"aː,ɓ",ɓ→aː,,huyền,huyền,,,0,,bilabial_closure → open_vowel,"bilabial_closure,open_vowel",bilabial_closure→open_vowel,"bilabial_closure,open_vowel","ɓ:bilabial_closure,aː:open_vowel",ɓ:bilabial_closure→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V003,word,cá,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kaː/,cá,c,a,∅,k-aː,"aː,k",k→aː,,sắc,sắc,,,0,,low_visibility_velar → open_vowel,"low_visibility_velar,open_vowel",low_visibility_velar→open_vowel,"low_visibility_velar,open_vowel","k:low_visibility_velar,aː:open_vowel",k:low_visibility_velar→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V004,word,cả,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kaː/,cả,c,a,∅,k-aː,"aː,k",k→aː,,hỏi,hỏi,,,0,,low_visibility_velar → open_vowel,"low_visibility_velar,open_vowel",low_visibility_velar→open_vowel,"low_visibility_velar,open_vowel","k:low_visibility_velar,aː:open_vowel",k:low_visibility_velar→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V005,word,mã,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/maː/,mã,m,a,∅,m-aː,"aː,m",m→aː,,ngã,ngã,,,0,phonation_contrast,bilabial_closure → open_vowel,"bilabial_closure,open_vowel",bilabial_closure→open_vowel,"bilabial_closure,open_vowel","m:bilabial_closure,aː:open_vowel",m:bilabial_closure→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V006,word,bạn,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓaːn/,bạn,b,a,n,ɓ-aː-n,"aː,n,ɓ","ɓ→aː,aː→n",,nặng,nặng,,,0,phonation_contrast,bilabial_closure → open_vowel → coronal,"bilabial_closure,coronal,open_vowel","bilabial_closure→open_vowel,open_vowel→coronal","bilabial_closure,coronal,open_vowel","ɓ:bilabial_closure,aː:open_vowel,n:coronal","ɓ:bilabial_closure→aː:open_vowel,aː:open_vowel→n:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V007,word,nhà,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɲaː/,nhà,nh,a,∅,ɲ-aː,"aː,ɲ",ɲ→aː,,huyền,huyền,,,0,,palatal → open_vowel,"open_vowel,palatal",palatal→open_vowel,"open_vowel,palatal","ɲ:palatal,aː:open_vowel",ɲ:palatal→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V008,word,hoa,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/hwaː/,hoa,h,oa,∅,h-waː,"h,waː",h→waː,,ngang,ngang,,,0,,glottal → rounded,"glottal,rounded",glottal→rounded,"glottal,rounded","h:glottal,waː:rounded",h:glottal→waː:rounded,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V009,word,xe,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/sɛ/,xe,x,e,∅,s-ɛ,"s,ɛ",s→ɛ,,ngang,ngang,,,0,,coronal → spread_vowel,"coronal,spread_vowel",coronal→spread_vowel,"coronal,spread_vowel","s:coronal,ɛ:spread_vowel",s:coronal→ɛ:spread_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V010,word,đi,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɗi/,đi,đ,i,∅,ɗ-i,"i,ɗ",ɗ→i,,ngang,ngang,,,0,,central_vowel → spread_vowel,"central_vowel,spread_vowel",central_vowel→spread_vowel,"central_vowel,spread_vowel","ɗ:central_vowel,i:spread_vowel",ɗ:central_vowel→i:spread_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
